
New Data
55 FF 01
08 FD 00 03 7F 3B 22 00 00 00 00  ;Timer:1642 us
08 FC 00 02 3B 40 FF FF FF FF FF  ;Timer:6320 us
08 FD 00 03 7F 3B 22 00 00 00 00  ;Timer:1237 us
08 FC 00 02 10 C0 FF FF FF FF FF  ;Timer:4648 us
08 FD 00 02 50 C0 00 00 00 00 00  ;Timer:459 us
08 FC 00 02 3B 40 FF FF FF FF FF  ;Timer:7778 us
08 FD 00 03 7F 3B 22 00 00 00 00  ;Timer:393 us
08 FC 00 02 3B 60 FF FF FF FF FF  ;Timer:7393 us
08 FD 00 03 7F 3B 22 00 00 00 00  ;Timer:885 us
08 FC 00 02 10 C0 FF FF FF FF FF  ;Timer:5132 us
08 FD 00 02 50 C0 00 00 00 00 00  ;Timer:892 us
08 FC 00 02 3B 60 FF FF FF FF FF  ;Timer:7171 us
08 FD 00 03 7F 3B 22 00 00 00 00  ;Timer:1000 us
08 FC 00 02 31 00 FF FF FF FF FF  ;Timer:18673 us
08 FD 00 06 71 00 BE 00 40 00 00  ;Timer:762 us
08 FC 00 02 32 00 FF FF FF FF FF  ;Timer:31157 us
08 FD 00 06 72 00 BE 00 40 00 00  ;Timer:558 us
08 FC 00 03 22 15 00 FF FF FF FF  ;Timer:31425 us
08 FD 00 07 62 15 00 12 5B 60 00  ;Timer:282 us
08 FC 00 03 22 13 00 FF FF FF FF  ;Timer:31766 us
08 FD 00 07 62 13 00 7F 70 20 00  ;Timer:973 us
08 FC 00 03 22 13 02 FF FF FF FF  ;Timer:17812 us
08 FD 00 05 62 13 02 00 3F 00 00  ;Timer:600 us
08 FC 00 03 22 13 03 FF FF FF FF  ;Timer:19251 us
08 FD 00 05 62 13 03 00 20 00 00  ;Timer:1205 us
08 FC 00 03 22 13 04 FF FF FF FF  ;Timer:17914 us
08 FD 00 05 62 13 04 80 90 00 00  ;Timer:492 us
08 FC 00 03 22 13 05 FF FF FF FF  ;Timer:20579 us
08 FD 00 05 62 13 05 08 44 00 00  ;Timer:898 us
08 FC 00 03 22 13 06 FF FF FF FF  ;Timer:18269 us
08 FD 00 05 62 13 06 00 10 00 00  ;Timer:1171 us
08 FC 00 03 22 13 07 FF FF FF FF  ;Timer:17431 us
08 FD 00 05 62 13 07 00 42 00 00  ;Timer:1602 us
08 FC 00 03 22 13 08 FF FF FF FF  ;Timer:17282 us
08 FD 00 05 62 13 08 00 08 00 00  ;Timer:503 us
08 FC 00 03 22 13 0A FF FF FF FF  ;Timer:19485 us
08 FD 00 05 62 13 0A 00 10 00 00  ;Timer:969 us
08 FC 00 03 22 13 0B FF FF FF FF  ;Timer:19961 us
08 FD 00 05 62 13 0B 00 32 00 00  ;Timer:490 us
08 FC 00 03 22 13 0C FF FF FF FF  ;Timer:20767 us
08 FD 00 05 62 13 0C 40 E1 00 00  ;Timer:818 us
08 FC 00 03 22 13 13 FF FF FF FF  ;Timer:19743 us
08 FD 00 05 62 13 13 00 08 00 00  ;Timer:717 us
08 FC 00 03 22 15 04 FF FF FF FF  ;Timer:18602 us
08 FD 00 05 62 15 04 00 15 00 00  ;Timer:726 us
08 FC 00 03 22 15 07 FF FF FF FF  ;Timer:18236 us
08 FD 00 05 62 15 07 00 15 00 00  ;Timer:1196 us
08 FC 00 03 22 15 0A FF FF FF FF  ;Timer:17362 us
08 FD 00 05 62 15 0A 00 14 00 00  ;Timer:1048 us
08 FC 00 03 22 15 0C FF FF FF FF  ;Timer:18939 us
08 FD 00 05 62 15 0C 00 40 00 00  ;Timer:494 us
08 FC 00 03 22 15 0D FF FF FF FF  ;Timer:18765 us
08 FD 00 05 62 15 0D 00 04 00 00  ;Timer:668 us
08 FC 00 03 22 15 0F FF FF FF FF  ;Timer:18111 us
08 FD 00 05 62 15 0F 00 40 00 00  ;Timer:297 us
08 FC 00 03 22 15 10 FF FF FF FF  ;Timer:20834 us
08 FD 00 05 62 15 10 00 04 00 00  ;Timer:650 us
08 FC 00 03 22 15 12 FF FF FF FF  ;Timer:17823 us
08 FD 00 05 62 15 12 00 40 00 00  ;Timer:1206 us
08 FC 00 03 22 15 13 FF FF FF FF  ;Timer:20451 us
08 FD 00 05 62 15 13 00 04 00 00  ;Timer:407 us
08 FC 00 02 21 01 FF FF FF FF FF  ;Timer:840833 us
08 FD 00 06 61 01 18 1B 48 00 00  ;Timer:494 us
08 FC 00 02 21 10 FF FF FF FF FF  ;Timer:4519 us
08 FD 00 10 0D 61 10 31 33 52 43  ;Timer:580 us
